date,TotalConsmp,Press_mm_hg,Windspeed,Visibility,H,RTo
2016-01-11 17:00:00,90.0,733.5,7.0,63.0,45.53428571571429,11.834999999999999
2016-01-11 17:10:00,90.0,733.6,6.666666667,59.16666667,45.45452380857143,11.9591666675
2016-01-11 17:20:00,80.0,733.7,6.333333333,55.33333333,45.34476190428571,12.051666667499997
2016-01-11 17:30:00,90.0,733.8,6.0,51.5,45.23714285714285,12.146250000000002
2016-01-11 17:40:00,100.0,733.9,5.666666667,47.66666667,45.23047618999999,12.278750000000002
2016-01-11 17:50:00,90.0,734.0,5.333333333,43.83333333,45.19,12.3720833325
2016-01-11 18:00:00,110.0,734.1,5.0,40.0,45.14809523857143,12.48791666625
2016-01-11 18:10:00,110.0,734.1666667000002,5.166666667,40.0,45.12904761857144,12.452083333750002
2016-01-11 18:20:00,100.0,734.2333332999998,5.333333333,40.0,45.12726190428572,12.4504166675
2016-01-11 18:30:00,110.0,734.3,5.5,40.0,45.26142857142857,12.445833333750002
2016-01-11 18:40:00,300.0,734.3666667,5.666666667,40.0,45.455833332857146,12.456354167499999
2016-01-11 18:50:00,640.0,734.4333333,5.833333333,40.0,45.74857142857144,12.503750001250001
2016-01-11 19:00:00,480.0,734.5,6.0,40.0,46.14380952285715,12.56791666625
2016-01-11 19:10:00,290.0,734.6166667,6.0,40.0,47.24238095285715,12.608333332500003
2016-01-11 19:20:00,110.0,734.7333332999998,6.0,40.0,48.28880952285715,12.67125
2016-01-11 19:30:00,110.0,734.85,6.0,40.0,48.15142857285714,12.7225
2016-01-11 19:40:00,100.0,734.9666667,6.0,40.0,47.96571428571429,12.75875000125
2016-01-11 19:50:00,100.0,735.0833332999998,6.0,40.0,48.024404762857145,12.7866666675
2016-01-11 20:00:00,110.0,735.2,6.0,40.0,47.55809523714286,12.81791666625
2016-01-11 20:10:00,180.0,735.2333332999998,6.0,40.0,47.30190476142857,12.880000000000003
2016-01-11 20:20:00,140.0,735.2666667000002,6.0,40.0,47.01333333285715,12.964791667500002
2016-01-11 20:30:00,230.0,735.3,6.0,40.0,46.76714285857143,12.95375
2016-01-11 20:40:00,150.0,735.3333332999998,6.0,40.0,46.73380952285714,12.989999998750001
2016-01-11 20:50:00,150.0,735.3666667,6.0,40.0,46.46904761857143,13.039583333750002
2016-01-11 21:00:00,140.0,735.4,6.0,40.0,46.23333333285715,13.093333333750003
2016-01-11 21:10:00,130.0,735.4666667,6.0,40.0,46.083333332857144,13.267916667500003
2016-01-11 21:20:00,130.0,735.5333333,6.0,40.0,46.121904761428574,13.364166666249996
2016-01-11 21:30:00,120.0,735.6,6.0,40.0,46.08476190428571,13.4979166675
2016-01-11 21:40:00,120.0,735.6666667000002,6.0,40.0,46.09047619,13.592916667500003
2016-01-11 21:50:00,120.0,735.7333332999998,6.0,40.0,46.05571428571428,13.708125
2016-01-11 22:00:00,130.0,735.8,6.0,40.0,45.85809523714287,13.801666666250002
2016-01-11 22:10:00,420.0,735.8833333,6.166666667,40.0,45.64904761857143,13.76916666625
2016-01-11 22:20:00,420.0,735.9666667,6.333333333,40.0,45.576190475714284,13.782083333749998
2016-01-11 22:30:00,420.0,736.05,6.5,40.0,45.43226190428571,13.798541666250003
2016-01-11 22:40:00,260.0,736.1333333,6.666666667,40.0,45.30809523714286,13.806250000000002
2016-01-11 22:50:00,80.0,736.2166667,6.833333333,40.0,45.26809523857143,13.799895833749998
2016-01-11 23:00:00,80.0,736.3,7.0,40.0,45.221666667142856,13.7776041675
2016-01-11 23:10:00,80.0,736.4,6.833333333,37.0,45.40571428571429,13.861666666249999
